# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
122 39 -1 4 1.0000 1 CYCLE
122 40 -1 4 1.0000 1 CYCLE
122 41 -1 4 1.0000 1 CYCLE
122 42 -1 8 1.0000 1 CYCLE
122 43 -1 78 1.1043 2 FAT
122 44 -1 153 1.1392 2 FAT
122 45 -1 52 1.0843 2 FAT
122 46 -1 7 1.0000 1 CYCLE
122 47 -1 38 1.0653 2 FAT
122 48 -1 56 1.0867 2 FAT
122 49 -1 199 1.1501 2 FAT
122 50 -1 118 1.1289 2 FAT
122 51 -1 6 1.0000 1 CYCLE
122 52 -1 3 1.0000 1 CYCLE
122 53 -1 3 1.0000 1 CYCLE
122 54 -1 3 1.0000 1 CYCLE
122 55 -1 3 1.0000 1 CYCLE
122 56 -1 3 1.0000 1 CYCLE
122 57 -1 3 1.0000 1 CYCLE
122 58 -1 3 1.0000 1 CYCLE
122 59 -1 3 1.0000 1 CYCLE
122 60 -1 3 1.0000 1 CYCLE
122 61 -1 3 1.0000 1 CYCLE
122 62 -1 3 1.0000 1 CYCLE
122 63 -1 3 1.0000 1 CYCLE
122 64 -1 3 1.0000 1 CYCLE
122 65 -1 3 1.0000 1 CYCLE
122 66 -1 3 1.0000 1 CYCLE
122 67 -1 3 1.0000 1 CYCLE
122 68 -1 3 1.0000 1 CYCLE
122 69 -1 3 1.0000 1 CYCLE
122 70 -1 3 1.0000 1 CYCLE
122 71 -1 3 1.0000 1 CYCLE
122 72 -1 3 1.0000 1 CYCLE
122 73 -1 6 1.0000 1 CYCLE
122 74 -1 71 1.1004 2 FAT
122 75 -1 175 1.1466 2 FAT
122 76 -1 94 1.1073 2 FAT
122 77 -1 8 1.0000 1 CYCLE
122 78 -1 95 1.1129 2 FAT
122 79 -1 95 1.1129 2 FAT
122 80 -1 5 1.0000 1 CYCLE
122 81 -1 5 1.0000 1 CYCLE
122 82 -1 5 1.0000 1 CYCLE
122 83 -1 5 1.0000 1 CYCLE
122 84 -1 5 1.0000 1 CYCLE
122 85 -1 5 1.0000 1 CYCLE
122 86 -1 5 1.0000 1 CYCLE
122 87 -1 60 1.0889 2 FAT
122 88 -1 114 1.1225 2 FAT
122 89 -1 48 1.0756 2 FAT
122 90 -1 7 1.0000 1 CYCLE
122 91 -1 14 1.0000 1 CYCLE
122 92 -1 61 1.0919 2 FAT
122 93 -1 154 1.1377 2 FAT
122 94 -1 234 1.1621 2 FAT
122 95 -1 151 1.1422 2 FAT
122 96 -1 31 1.0365 2 FAT
122 97 -1 4 1.0000 1 CYCLE
122 98 -1 2 1.0000 1 CYCLE
122 99 -1 2 1.0000 1 CYCLE
122 100 -1 2 1.0000 1 CYCLE
122 101 -1 2 1.0000 1 CYCLE
122 102 -1 2 1.0000 1 CYCLE
122 103 -1 2 1.0000 1 CYCLE
122 104 -1 2 1.0000 1 CYCLE
122 105 -1 2 1.0000 1 CYCLE
122 106 -1 2 1.0000 1 CYCLE
122 107 -1 2 1.0000 1 CYCLE
122 108 -1 2 1.0000 1 CYCLE
122 109 -1 2 1.0000 1 CYCLE
122 110 -1 2 1.0000 1 CYCLE
122 111 -1 2 1.0000 1 CYCLE
122 112 -1 2 1.0000 1 CYCLE
122 113 -1 2 1.0000 1 CYCLE
122 114 -1 2 1.0000 1 CYCLE
122 115 -1 2 1.0000 1 CYCLE
122 116 -1 2 1.0000 1 CYCLE
122 117 -1 2 1.0000 1 CYCLE
122 118 -1 2 1.0000 1 CYCLE
122 119 -1 2 1.0000 1 CYCLE
122 120 -1 2 1.0000 1 CYCLE
122 121 -1 2 1.0000 1 CYCLE
122 122 -1 2 1.0000 1 CYCLE
122 123 -1 2 1.0000 1 CYCLE
122 124 -1 2 1.0000 1 CYCLE
122 125 -1 2 1.0000 1 CYCLE
122 126 -1 2 1.0000 1 CYCLE
122 127 -1 2 1.0000 1 CYCLE
122 128 -1 2 1.0000 1 CYCLE
122 129 -1 2 1.0000 1 CYCLE
122 130 -1 2 1.0000 1 CYCLE
122 131 -1 2 1.0000 1 CYCLE
122 132 -1 2 1.0000 1 CYCLE
122 133 -1 2 1.0000 1 CYCLE
122 134 -1 2 1.0000 1 CYCLE
122 135 -1 2 1.0000 1 CYCLE
122 136 -1 2 1.0000 1 CYCLE
122 137 -1 2 1.0000 1 CYCLE
122 138 -1 2 1.0000 1 CYCLE
122 139 -1 2 1.0000 1 CYCLE
122 140 -1 2 1.0000 1 CYCLE
122 141 -1 4 1.0000 1 CYCLE
122 142 -1 31 1.0365 2 FAT
